addr_postc,addr_subur,air_condit,amenity,biergarten,brand,capacity,contact_ph,contact_we,cuisine,delivery,descriptio,diet_vegan,diet_veget,indoor_sea,indoor_s_1,internet_a,internet_1,name,opening_ho,outdoor_se,smoking,takeaway,wheelchair,Lat,Lon,Brick
,,,restaurant,,,,,,turkish,,,,,,,,,Azem,,,,,,52.518011999999999,13.407163000000001,Mitte
10999,Kreuzberg,,restaurant,,,,,,vietnamese,,,,yes,,,,,Pho Noodlebar,Mo-Su 11:30-23:00,,no,,limited,52.500791999999997,13.419105999999999,Friedrichshain-Kreuzberg
13403,Reinickendorf,,restaurant,,,,,,balkan,,,,,,,,,Pula-Grill,Mo-Su 11:30-23:00,,,,limited,52.570185000000002,13.320660000000000,Reinickendorf
12161,Friedenau,,restaurant,,,,,,vietnamese,,,,,true,,,,Lac Viet,"Mo-Sa 11:30-22:00; Su off",yes,,,no,52.467668000000003,13.331581000000000,Tempelhof-Schöneberg
10999,Kreuzberg,,restaurant,,,,+49 30 69533377,https://miss-saigon-berlin.de/,vietnamese,,,yes,,true,,,,Miss Saigon,Mo-Su 12:00-24:00,pedestrian_zone,,,yes,52.498722000000001,13.426524000000001,Friedrichshain-Kreuzberg
12683,,,restaurant,,,,,,greek,no,,,,true,120,,,Herkules I,"Mo-Su,PH 12:00-24:00",yes,,yes,yes,52.520263000000000,13.555653000000000,Marzahn-Hellersdorf
10965,Kreuzberg,,restaurant,,,,,,vietnamese,,,,,true,,wlan,,Tre Xanh,"Mo-Th 11:30-22:30; Sa,Su 12:00-23:30",yes,,,no,52.487499999999997,13.396504999999999,Friedrichshain-Kreuzberg
10435,Prenzlauer Berg,,restaurant,,,,,,mexican,,,,,true,,,,Mad Meals,,yes,outside,,,52.540618000000002,13.414039000000001,Pankow
10623,Charlottenburg,,restaurant,,,,,https://madame-ngo.de/,asian,,,,,,,,,Madame Ngo,"Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30",yes,,,limited,52.506211999999998,13.318080999999999,Charlottenburg-Wilmersdorf
10179,Mitte,,restaurant,,,,+49 30 24600950,https://shezan-liefer.de/,indian,,,,,,,,,Shezan,Mo-Su 11:30-23:30,,,,limited,52.512146000000001,13.408129000000001,Mitte
10709,Halensee,,restaurant,,,,,,german,,,,,true,,,,Haus der 100 Biere,Mo-Su 11:00-00:00,yes,,,yes,52.498382999999997,13.296998000000000,Charlottenburg-Wilmersdorf
13509,Reinickendorf,,restaurant,,,,,,german,,,,,,,,,Schlemmerküche,Mo-Fr 11:30-13:30,,,,limited,52.577114999999999,13.307314999999999,Reinickendorf
14052,Westend,,restaurant,,,,,,german,,,,,true,,,,JOE'S Restaurant & Wirtshaus,10:00-24:00,yes,,,limited,52.509874000000003,13.270883000000000,Charlottenburg-Wilmersdorf
14057,Charlottenburg,,restaurant,,,,,,italian,,,,,,,,,La Rose,,,,,,52.506318000000000,13.284625999999999,Charlottenburg-Wilmersdorf
10117,Mitte,,restaurant,,,,+49 30 20672828,http://www.boccadibacco.de/,italian,,,,,,,,,Bocca di Bacco,Mo-Sa 12:00-24:00,yes,,,no,52.515112000000002,13.388908000000001,Mitte
13507,Tegel,,restaurant,,,,+49 30 36427699,https://trattoria-monticchiello.com/,italian,,,,,true,,,,Trattoria Monticchiello,"Mo off; Tu-Th 12:00-22:00; Fr-Su 15:00-22:00",yes,,,no,52.582721999999997,13.290115000000000,Reinickendorf
10119,Prenzlauer Berg,,restaurant,,,,+49 30 44017333,,italian,,,,yes,true,,,,I Due Forni,Mo-Su 12:00-24:00,yes,outside,yes,yes,52.530830999999999,13.412464000000000,Pankow
13351,,,restaurant,,,,+49 30 4513071,,german,,,,yes,true,,,,Schatulle,"Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00",yes,outside,,limited,52.554271000000000,13.331128000000000,Mitte
10117,Mitte,,restaurant,,,,,,japanese,,,,yes,true,,wlan,,Izumi Sushi Bar,"Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 01:00-23:00",yes,,,yes,52.511291999999997,13.388712000000000,Mitte
10117,Mitte,,restaurant,,,,+49 30 20450559,https://www.maximilians-berlin.de/,german,,,,,true,,,,Maximilians,Mo-Su 11:30-23:30,yes,,,yes,52.511344000000001,13.389181000000001,Mitte
10961,Kreuzberg,,restaurant,,,,+49 30 6948948,,indian,,,yes,,true,,,,Tibet Haus,12:00-24:00,yes,,,no,52.490710000000000,13.393981000000000,Friedrichshain-Kreuzberg
13585,Hakenfelde,,restaurant,,,,+49 030 54842743,https://aguarestaurant.de,mexican,,,,,,,,,Agua TexMex,Mo-Su 11:00-23:00,yes,,,yes,52.546258000000002,13.211914999999999,Spandau
,,,restaurant,,,,,,international,,,,,,,,,Unvernunft,"Mo-Th 12:00-20:00; Fr 12:00-22:00",,,,,52.535516999999999,13.202052999999999,Spandau
13597,Spandau,,restaurant,,,,+49 30 84526667,https://teloneio.de,greek,yes,,,,true,,,,Taverna Teloneio,"Mo-Su 12:00-23:00; Jan 01 14:00-21:00; Dec 31 12:00-18:00",yes,,yes,limited,52.539921999999997,13.207419000000000,Spandau
,,,restaurant,,,,,,vietnamese,,,,,true,,,,Anjoy,"Mo-Sa, PH 12:00-23:30; Su 11:00-23:30",yes,isolated,,limited,52.536141999999998,13.420534000000000,Pankow
,,,restaurant,,,,,,vietnamese,,,,,,,,,Hoa Rong,"Mo-Fr 11:30-23:00; Sa 13:00-23:00",,,,yes,52.519714000000000,13.387751000000000,Mitte
10999,Kreuzberg,,restaurant,,,,+49 30 61626649,https://www.koisenberlin.de/,vietnamese,,,yes,,true,,,,Koisen,"Tu-Th,Su 12:00-21:30; Fr-Sa 12:00-22:00",yes,,,no,52.497593999999999,13.430783999999999,Friedrichshain-Kreuzberg
14195,Grunewald,,restaurant,,,"50",,http://www.machiavelli-berlin.de/,international,,,,,,,,,Machiavelli,,,,,limited,52.474800000000002,13.278179000000000,Charlottenburg-Wilmersdorf
12163,Steglitz,,restaurant,,,,,,thai,,,,,,,,,Sida,"Tu-Sa 12:00-21:00; Su 14:00-21:00",,,,no,52.460514000000003,13.323131000000000,Steglitz-Zehlendorf
10551,Moabit,,restaurant,,,,,,vietnamese,,,,yes,,,,,Hoan Kiem,Tu-Su 12:00-22:30,yes,outside,,no,52.527284999999999,13.339373999999999,Mitte
12055,Neukölln,,restaurant,,,,,,austrian,,,,no,true,,,,Restaurant Louis,"We-Su 11:30-23:00; Mo, Tu 12:15-23:00",sidewalk,,,limited,52.474338000000003,13.445280000000000,Neukölln
10119,Mitte,,restaurant,,,,+49 30 28884282,http://www.chenche-berlin.de,vietnamese,no,,yes,yes,,,no,,Chén Ché,12:00-24:00,yes,outside,yes,limited,52.527391999999999,13.402473000000001,Mitte
10555,Moabit,,restaurant,,,,,,vietnamese,,,yes,yes,true,,,,Song Lam 37,"Mo-Fr 11:30-23:00; Sa,Su,PH 12:00-23:00",yes,outside,,yes,52.525272000000001,13.342428999999999,Mitte
,,,restaurant,,,,,,vietnamese,,,,yes,,,,,Sanhok,,yes,,yes,,52.479559000000002,13.425710000000000,Neukölln
10117,Mitte,false,restaurant,,,,+49 30 20649007,https://noumi-noodles.com/,vietnamese,yes,,,yes,true,,no,,Noumi,"Mo-Fr 12:00-22:00, Sa 15:00-22:00",yes,outside,yes,yes,52.514372999999999,13.397615999999999,Mitte
10827,Schöneberg,,restaurant,,,,+49 30 7848570,,turkish,,,,,true,,,,Aspendos,,yes,,,yes,52.488345000000002,13.358010000000000,Tempelhof-Schöneberg
12589,Rahnsdorf,,restaurant,,,,,,asian,,Asia Buffet Restaurant,yes,yes,,,,,Seepalast,12:00-22:30,,,,yes,52.441712000000003,13.687253999999999,Treptow-Köpenick
10178,Mitte,,restaurant,,,,+49 30 84711058,,asian,,,yes,yes,true,,,,Eden,"Mo-Fr 12:00-23:00; Sa 13:00-23:00; Su 17:00-23:00",yes,outside,,yes,52.521932000000000,13.404800000000000,Mitte
10245,Friedrichshain,,restaurant,,,,,,asian,,,yes,yes,true,,,,Hangmee,12:00-24:00,yes,,,yes,52.512954999999998,13.457640000000000,Friedrichshain-Kreuzberg
10823,Schöneberg,,restaurant,,,,,,indian,,,yes,yes,true,,,,Yogi-Haus,"Mo-Th, Su 11:30-23:00; Fr,Sa 11:30-24:00",yes,,,yes,52.486277999999999,13.350668000000001,Tempelhof-Schöneberg
12055,Neukölln,,restaurant,,,,,,indian,,,yes,yes,true,,,,Shaan,Mo-Su 12:00-18:00+,yes,,yes,no,52.473954999999997,13.446854000000000,Neukölln
14193,Grunewald,,restaurant,,,,+49 30 8929356,http://www.restaurantfloh.de/,german,,,,,,,,,Floh,Tu-Su 12:00-18:00,,,,,52.488002999999999,13.263427999999999,Charlottenburg-Wilmersdorf
14109,Wannsee,,restaurant,,,,+49 30 805 2914,https://www.blockhaus-nikolskoe.de/,german,,technical_monument,,,,,,,Blockhaus Nikolskoe,Mo-Su 11:00-19:00,,no,,yes,52.424441999999999,13.116311000000000,Steglitz-Zehlendorf
,,,restaurant,,,,,,german,,,,,,,,,Dittmanns Drogerie,,,,,yes,52.402963999999997,13.585665000000001,Treptow-Köpenick
,,,restaurant,,,,,,italian,,,,,,,,,Trattoria Gioachino,,,,,yes,52.487884000000001,13.262841000000000,Charlottenburg-Wilmersdorf
10243,Friedrichshain,,restaurant,,,,,,italian,,,,no,true,,,,Ristorante a Mano,Mo-Su 12:00-23:00,yes,,,limited,52.519373000000002,13.427509000000001,Friedrichshain-Kreuzberg
10719,Wilmersdorf,,restaurant,,,,,https://casa-di-maria.de/,italian,,,no,yes,true,,,,Casa di Maria,Mo-Sa 12:00-23:00,yes,,,no,52.496811000000001,13.324446999999999,Charlottenburg-Wilmersdorf
14163,Zehlendorf,,restaurant,,,,,,italian,,,,,,,,,Trattoria Piazza Siciliana,"Mo-Sa 17:00-24:00, Su,PH 12:00-24:00",,,yes,yes,52.430379000000002,13.230601999999999,Steglitz-Zehlendorf
10789,Charlottenburg,,restaurant,,,,,,french,,,,,,,,,Le Faubourg,,,no,,yes,52.502693000000001,13.331882000000000,Charlottenburg-Wilmersdorf
10717,Wilmersdorf,,restaurant,,,,,,french,,,,yes,true,,,,Garcon,10:00-01:00,yes,,,yes,52.489491999999998,13.319673000000000,Charlottenburg-Wilmersdorf
10405,Prenzlauer Berg,,restaurant,,,,,,german,,,,yes,,,,,Ryke,"We-Sa 18:00-23:00, Su 13:00-21:30",,,,,52.537652999999999,13.421214000000001,Pankow
10789,,,restaurant,,,,,,german,,,,,,,,,Berliner Stube,,,,,yes,52.502868999999997,13.334607000000000,Charlottenburg-Wilmersdorf
12621,Kaulsdorf,,restaurant,,,,+49 30 5689460,https://www.zum-oberfeld.de,german,,,,,true,,wlan,,Gasthof zum Oberfeld,"Mo-Su,PH 12:00-22:00",yes,,,no,52.515717000000002,13.593590000000001,Marzahn-Hellersdorf
10585,Charlottenburg,,restaurant,,,,,,arab,,,,,,,,,Rüya Gemüse Kebab,Mo-Sa 11:00-21:30,,outside,yes,limited,52.513792000000002,13.317031000000000,Charlottenburg-Wilmersdorf
12526,Bohnsdorf,,restaurant,,,,,,greek,,,,,,,,,Restaurant Rhodos,"Su-Th,PH 12:00-23:00, Fr,Sa 12:00-24:00",,,,no,52.411332000000002,13.573001000000000,Treptow-Köpenick
10245,Friedrichshain,,restaurant,,,,+49 30 29049704,,austrian,,,,yes,true,,,,Schneeweiß,Mo-Sa 17:00-24:00,yes,,,no,52.508645000000001,13.458202999999999,Friedrichshain-Kreuzberg
10245,Friedrichshain,,restaurant,,,,,,international,,,yes,yes,true,,,,Alte Turnhalle Berlin,"May-Sep: Su-Th 10:00-00:00, Fr-Sa 09:00-01:00; Oct-Apr: Sa-Su 10:00-15:00; PH 10:00-15:00",yes,yes,,yes,52.507199000000000,13.465299000000000,Friedrichshain-Kreuzberg
10247,Friedrichshain,,restaurant,,,,,,asian,,,,yes,true,,,,Kyoto,"Mo-Fr 12:00-22:00; Sa 17:00-22:00; Su 16:00-22:00",yes,,,,52.513154000000000,13.462049000000000,Friedrichshain-Kreuzberg
13349,Wedding,,restaurant,,,,+49 30 43722727,https://www.homey-restaurant.de/,asian,,,,,true,,,,Homey,"Mo-Fr 11:00-22:00; PH,Sa-Su 12:00-22:00",yes,,,,52.556958000000002,13.340956000000000,Mitte
10247,Friedrichshain,,restaurant,,,,,,vietnamese,,,,,true,,,,Gold 79,,yes,,,,52.514099999999999,13.473032999999999,Friedrichshain-Kreuzberg
10247,Friedrichshain,,restaurant,,,,,,vietnamese,,,,,true,,,,Meet Saigon,,yes,,,yes,52.515878000000001,13.458543000000001,Friedrichshain-Kreuzberg
,,,restaurant,,,,,,thai,,,,,true,,,,Scorpion,,yes,,,yes,52.528823000000003,13.342903000000000,Mitte
10247,,,restaurant,,,,,,vietnamese,,,yes,yes,true,,,,Asahi Sushi,"Mo-Fr 11:00-23:00, Sa,Su 13:00-23:00",yes,outside,,limited,52.515341999999997,13.471852000000000,Friedrichshain-Kreuzberg
12101,Tempelhof,,restaurant,,,,+49 30 77008518,https://jayden-restaurant.de/,vietnamese,yes,,,,,,,,Jayden,"Mo-Th 11:00-22:00; Fr-Sa 11:00-22:30; Su 11:30-22:00",,,yes,,52.484188000000003,13.384043999999999,Tempelhof-Schöneberg
10779,Schöneberg,,restaurant,,,,,,vietnamese,,,yes,yes,true,,,,Pho12,"Mo-Fr 11:00-20:00; PH,Sa,Su off",yes,,,limited,52.489181000000002,13.340641000000000,Tempelhof-Schöneberg
10119,Mitte,,restaurant,,,,,http://www.manngo.de,vietnamese,,,,,,,,,Manngo,"Mo-Fr 12:00-24:00; Sa 16:00-24:00",yes,,,no,52.527346999999999,13.405597000000000,Mitte
10247,Friedrichshain,false,restaurant,,,,,,thai,,,,,true,,,,Koy,Mo-Su 11:30-23:00,yes,,yes,yes,52.516801999999998,13.462137999999999,Friedrichshain-Kreuzberg
10247,Friedrichshain,false,restaurant,,,,,,russian,,,,yes,true,,,,Anastasia,"Mo-Su,PH 12:00+",yes,outside,,yes,52.517408000000003,13.465851000000001,Friedrichshain-Kreuzberg
10117,Mitte,,restaurant,,,,,,vietnamese,,,,,true,,,,Blossom,"Mo-Fr 11:00-22:00; PH,Sa,Su 12:00-22:00",yes,,,,52.517420000000001,13.390123000000001,Mitte
10823,,,restaurant,,,,,,vietnamese,,,yes,yes,true,,,,Pho-Viet,Mo-Su 11:00-23:00,yes,,yes,no,52.486637000000002,13.355649000000000,Tempelhof-Schöneberg
10365,Lichtenberg,,restaurant,,,,+49 30 57799288,http://athos-berlin.de/,greek,no,,no,yes,true,,,,Restaurant Athos,"PH,Tu-Su 11:30-23:00",yes,outside,yes,no,52.512988999999997,13.501274000000000,Lichtenberg
10829,Schöneberg,,restaurant,,,,,,italian,,,,,true,,,,cielo di berlino,"Tu-Fr 13:00-24:00; Mo,Sa 16:00-24:00; Su 14:00-23:00",yes,no,,limited,52.488177999999998,13.370321000000001,Tempelhof-Schöneberg
,Kreuzberg,,restaurant,,,,,,asian,,,,yes,true,,,,Pagode,Mo-Su 12:00-23:00,yes,,,no,52.489311000000001,13.393394000000001,Friedrichshain-Kreuzberg
10245,Friedrichshain,,restaurant,,,,,,asian,,,yes,yes,true,,,,Lemongrass,"Mo-Su,PH 12:00-23:00",yes,no,,yes,52.512478999999999,13.457167999999999,Friedrichshain-Kreuzberg
10247,Friedrichshain,false,restaurant,,,,+49 30 55205071,http://www.chaiji.de/,indian,,,yes,yes,true,,wlan,,Chai Ji,"Su-Th 12:00-23:00; Fr-Sa 12:00-24:00",yes,,,no,52.516542999999999,13.463539000000001,Friedrichshain-Kreuzberg
10247,Friedrichshain,,restaurant,,,,,,indian,,,yes,yes,true,,,,Aashish,Mo-Su 12:00-23:00,yes,,,yes,52.514941999999998,13.460270000000000,Friedrichshain-Kreuzberg
10247,Friedrichshain,,restaurant,,,,,https://sethrestaurant.jimdo.com/,pakistani,,,,yes,,,,,Seth,"Sa-Th 12:00-23:00+; Fr 15:30-23:00+",,,,no,52.517256000000003,13.460888000000001,Friedrichshain-Kreuzberg
14195,Dahlem,,restaurant,,,,,,german,no,,,,,,,,Alter Krug,"Mo-Sa 11:00-23:00; Su 10:00-23:00",,outside,,yes,52.457847999999998,13.288235000000000,Steglitz-Zehlendorf
10115,,,restaurant,,,,,,german,,,,,true,,,,Gambrinus,,yes,,,no,52.526445000000002,13.387948000000000,Mitte
13353,Wedding,,restaurant,,,,,,german,,,no,yes,true,,wlan,no,Fünf & Sechzig,Mo-Su 08:00-00:00,yes,,,limited,52.540002000000001,13.352731000000000,Mitte
12249,Lankwitz,,restaurant,,,,,,italian,,,,,,,,,Bardolino,"Tu-Fr 16:00-22:00+, Sa,Su,PH 12:00-22:00+",,,,limited,52.433979999999998,13.359207000000000,Steglitz-Zehlendorf
12161,Friedenau,,restaurant,,,,,,italian,,,,yes,true,,,,Mario,Mo-Su 12:00-24:00,yes,,,no,52.475076999999999,13.323407000000000,Tempelhof-Schöneberg
,,,restaurant,,,,,,italian,,,,yes,true,,,,Vereinszimmer,"Mo-Fr 08:00-20:00; Sa,Su 09:00-20:00",yes,,,yes,52.490000000000002,13.382507000000000,Friedrichshain-Kreuzberg
10245,Friedrichshain,false,restaurant,,,,,,thai,,,only,only,true,,,,li.ke,Mo-Su 12:00-22:00,yes,outside,,yes,52.511594000000002,13.458689000000000,Friedrichshain-Kreuzberg
,,,restaurant,,,,,,turkish,,,,,,,,,Hasir,"PH,Mo-Su 10:00-24:00",,,,limited,52.538299000000002,13.206756000000000,Spandau
10623,Charlottenburg,,restaurant,,,,+49 30 31809170,http://www.tapas-berlin.de,spanish,,,,,,,,,Tapas Bar,"Mo-Th 16:00-01:00, Fr-Sa 16:00-02:00, Su 11:00-01:00",,,,no,52.507193000000001,13.321614000000000,Charlottenburg-Wilmersdorf
10625,Charlottenburg,,restaurant,,,,,,mexican,yes,,,,,,,,Berlin Burrito Company,"Mo-Th,Su 12:00-22:00; Fr-Sa 12:00-23:00",yes,,,limited,52.506664999999998,13.309853000000000,Charlottenburg-Wilmersdorf
10625,Charlottenburg,,restaurant,,,,,,chinese,,,,,,,,,Aroma,Th-Tu 14:00-02:00,,,,yes,52.506343999999999,13.315576999999999,Charlottenburg-Wilmersdorf
10117,Mitte,,restaurant,,,,"+493028040505",,cuban,,,,,true,,,,QBA,"Mo-Th 16:00-00:00, Fr,Sa 16:00-03:00, Su 16:00-24:00",yes,,,no,52.525995000000002,13.389442000000001,Mitte
10999,,,restaurant,,,,,,vietnamese,,,,,true,,,,Cocochu,Mo-Su 11:30-23:30,yes,outside,,yes,52.494096999999996,13.428601000000000,Friedrichshain-Kreuzberg
10557,,,restaurant,,,,+49 30 3914976,http://marjan-grill.de/,croatian,,,,no,true,,,,Marjan Grill,"Mo-Su,PH 12:00-23:00",yes,outside,,yes,52.520065000000002,13.346919000000000,Mitte
10967,,,restaurant,,,,,https://datscha.de,russian,,,yes,yes,true,,,,datscha,"Mo-Su,PH 10:00-01:00",yes,,,no,52.493876999999998,13.418668000000000,Friedrichshain-Kreuzberg
10249,Friedrichshain,,restaurant,,,,,,vietnamese,,,,,,,,,Viet Bowl,Mo-Su 11:30-23:00,,outside,,no,52.523211000000003,13.453334999999999,Friedrichshain-Kreuzberg
12047,Neukölln,,restaurant,,,,+49 30 94044167,,vietnamese,,,,,,,,,Mais,Mo-Su 11:00-00:00,,,,yes,52.487803000000000,13.430868000000000,Neukölln
10243,,,restaurant,,,,,,vietnamese,,,,,true,,,,Viet Nam & Sushi Bar,Mo-Su 12:00-23:00,yes,,yes,yes,52.512379000000003,13.452114000000000,Friedrichshain-Kreuzberg
13585,Spandau,,restaurant,,,,,,greek,,,,,,,,,Omonia Treff,Mo-Su 14:00-22:00,,,,limited,52.544421999999997,13.204370000000001,Spandau
13467,Hermsdorf,,restaurant,,,,+49 30 39716012,https://www.yeshaus-berlin.com/,thai,,,,,,,wlan,customers,Yes Haus,Tu-Su 12:00-22:00,yes,no,yes,limited,52.619684999999997,13.313492000000000,Reinickendorf
,,,restaurant,,,,+49 30 33936787,https://www.vinh-loc-restaurant.de/,vietnamese,,,,,true,,,,Vietnam. Restaurant Vinh Loc,11:00-23:00,yes,,,,52.517921999999999,13.197506000000001,Spandau
14057,Charlottenburg,,restaurant,,,,+49 30 30209515,http://rocco-charlottenburg.de/,international,yes,,,,,,,,Rocco,"09:00-24:00",yes,outside,,yes,52.510353000000002,13.291892000000001,Charlottenburg-Wilmersdorf
10713,Wilmersdorf,,restaurant,,,"50",,https://kazokuberlin.de/,vietnamese,,,,,,,,,Kazoku Berlin,,yes,,,,52.489401000000001,13.317005999999999,Charlottenburg-Wilmersdorf
10829,,,restaurant,,,,,,vietnamese,,,,,true,,,,Saigon Alley,11:00-21:00,yes,,yes,,52.485477000000003,13.361319000000000,Tempelhof-Schöneberg
10245,,false,restaurant,,,,,,turkish,,,yes,yes,true,,,,Zeus Pizza & Pide,"Mo-Sa 15:30-23:30; Su 14:00-23:00",yes,outside,,yes,52.512407000000003,13.459095000000000,Friedrichshain-Kreuzberg
10967,Kreuzberg,,restaurant,,,,,,asian,,,,,true,,,,Chay Long,,yes,,,,52.492590000000000,13.417192999999999,Friedrichshain-Kreuzberg
,,false,restaurant,,,,,,asian,,,yes,yes,true,,,,Asiana Village,"Tu-Th 12:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00",no,no,,yes,52.595314999999999,13.335305999999999,Reinickendorf
13595,Wilhelmstadt,,restaurant,true,,,+49 30 35503107,http://www.gaststaetteg7.de,german,,,,,,,,,Gaststätte G7,,yes,,,no,52.520311999999997,13.187768999999999,Spandau
13507,Tegel,,restaurant,,,,,,german,,,,,true,,,,Hax'nhaus,"PH,Mo-Su 11:00-18:00+",yes,,,no,52.589792000000003,13.282261999999999,Reinickendorf
12623,Mahlsdorf,,restaurant,,,,,,international,,,,,,,,,Rossini III,,,,,limited,52.495561000000002,13.611356000000001,Marzahn-Hellersdorf
10707,Wilmersdorf,,restaurant,,,,,,italian,,,,,,,,,Ristorante Da Toni,,,,,no,52.498263999999999,13.319001999999999,Charlottenburg-Wilmersdorf
,,false,restaurant,,,,,,italian,,,,yes,true,,,,Olivio,Mo-Su 12:00-22:00,yes,,yes,no,52.491942999999999,13.421184999999999,Friedrichshain-Kreuzberg
10409,Prenzlauer Berg,,restaurant,,,,,,italian,,,no,yes,,,,,Trattoria Da Pia,,,,,yes,52.542687000000001,13.438272000000000,Pankow
10625,Charlottenburg,,restaurant,,,,,http://www.pascarella.de/,italian,,,,,,,,,Pascarella,12:00-24:00,,,,yes,52.507699000000002,13.318058000000001,Charlottenburg-Wilmersdorf
10245,Friedrichshain,false,restaurant,,,,,,lebanese,,,yes,yes,true,,,,The Hummus Club,,yes,outside,,yes,52.512464999999999,13.458856000000001,Friedrichshain-Kreuzberg
10243,Friedrichshain,,restaurant,,,,+49 30 29009912,https://jaegerundlustig.de,german,,,,,true,,,,Jäger & Lustig,Mo-Su 12:00-00:00,yes,,,yes,52.513410000000000,13.448065000000000,Friedrichshain-Kreuzberg
,,,restaurant,,,,+49 30 37438807,http://schuetzen-wirtin.de/,german,,,,,,,,,Schützen-Wirtin,"We-Fr 12:00-18:00; Sa 10:00-18:00; Su 12:00-18:00; Mo,Tu off",,,,,52.414755000000000,13.176969000000000,Steglitz-Zehlendorf
10245,Friedrichshain,false,restaurant,,,,+49 30 48813614,https://burgerjam.business.site,austrian,,,yes,yes,true,,,,Burger Jam,Mo-Su 12:30-18:00+,yes,outside,,limited,52.512478999999999,13.458781999999999,Friedrichshain-Kreuzberg
10707,Charlottenburg,,restaurant,,,,+49 30 88001764,http://www.graffiti-kudamm.de/graffiti-kudamm,international,,,,,,,,,Graffiti,,,,,limited,52.500357000000001,13.307503000000001,Charlottenburg-Wilmersdorf
10827,Schöneberg,,restaurant,,,,,,arab,"Mo-Th 11:00-22:45;Fr-Su 11:00-23:45",,,yes,true,,,,Bahar Restaurant,"Mo-Th 11:00-23:00; Fr-Su 11:00-24:00",yes,outside,,no,52.481465999999998,13.348378000000000,Tempelhof-Schöneberg
10245,Friedrichshain,false,restaurant,,,,+49-30-29006638,,arab,,,no,yes,true,,,,Melissa,"Mo-Su,PH 08:00-02:00",yes,,,no,52.498984999999998,13.464285000000000,Friedrichshain-Kreuzberg
,,,restaurant,,,,,,chinese,,,,yes,true,,,,Hee Lam Mun,"Tu-Su,PH 12:00-23:00; Mo off",yes,,,no,52.459958999999998,13.312191000000000,Steglitz-Zehlendorf
13353,Wedding,false,restaurant,,,,,,thai,,,no,yes,true,,,,Krua Thai,"Mo-Fr 12:00-23:00; Su 15:00-23:00",yes,,,limited,52.545870999999998,13.357829000000001,Mitte
12279,,,restaurant,,,,,,chinese,,,,yes,true,,,,Happy Buddha,"We-Su 12:00-22:00; Mo,Tu off",no,,,limited,52.413707000000002,13.363796000000001,Tempelhof-Schöneberg
,,,restaurant,,,,,,croatian,,,,,,,,,Blaue Adria,"Tu-Fr 16:00-23:30; PH,Sa,Su 11:30-23:30; Mo off",,,,no,52.528602999999997,13.449111000000000,Pankow
,,,restaurant,,,,,,asian,,,,,true,,,,Van-Long,"Mo-Fr 11:30-21:00; Sa 17:00-22:00; Su off",yes,,,no,52.523800000000001,13.386521999999999,Mitte
