"id","addr:street","addr:housenumber","addr:postcode","addr:suburb","air_conditioning","amenity","biergarten","brand","capacity","contact:phone","contact:website","cuisine","delivery","description","diet:vegan","diet:vegetarian","indoor_seating","indoor_seating:capacity","internet_access","internet_access:fee","name","opening_hours","outdoor_seating","smoking","takeaway","wheelchair","Lat","Lon"
node/87040391,Friedrichstraße,"185-190","10117",Mitte,"",restaurant,"","","",+49 30 20450559,https://www.maximilians-berlin.de/,german,"","","","",yes,"","","",Maximilians,Mo-Su 11:30-23:30,yes,"","",yes,"52.511344","13.389181"
node/87040394,Kronenstraße,"66","10117",Mitte,"",restaurant,"","","","","",japanese,"","","",yes,yes,"",wlan,"",Izumi Sushi Bar,Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 01:00-23:00,yes,"","",yes,"52.511292","13.388712"
node/89274703,Panoramastraße,"1","10178",Mitte,"",restaurant,"","","","","",german,"","","","",yes,"",wlan,no,Der Alte Fritz,"PH,Mo-Su 12:00-22:00",yes,"",yes,"","52.52143","13.409207"
node/89275075,"","","","","",restaurant,"","","","","",turkish,"","","","","","","","",Azem,"","","","","","52.518012","13.407163"
node/89275135,Rathausstraße,"21","10178",Mitte,"",restaurant,"","","",+49 30 24720603,https://www.mutterhoppe.de/,german,"","","",yes,yes,"","","",Mutter Hoppe,Mo-Sa 11:30-22:00+,yes,outside,"",no,"52.517587","13.405899"
node/89275143,Rathausstraße,"25","10178",Mitte,"",restaurant,"","","",+49-30-97005787,"",german,"","","","",yes,"","","",Julchen Hoppe,Mo-Fr 11:30+,yes,"","",yes,"52.517268","13.405025"
node/89275203,Neue Roßstraße,"13","10179",Mitte,"",restaurant,"","","",+49 30 24600950,https://shezan-liefer.de/,indian,"","","","","","","","",Shezan,Mo-Su 11:30-23:30,"","","",limited,"52.512146","13.408129"
node/89960246,Berliner Straße,"70","13507",Tegel,"",restaurant,"","","",+49 30 36427699,https://trattoria-monticchiello.com/,italian,"","","","",yes,"","","",Trattoria Monticchiello,Mo off; Tu-Th 12:00-22:00; Fr-Su 15:00-22:00,yes,"","",no,"52.582722","13.290115"
node/136721344,Auguste-Viktoria-Allee,"79","13403",Reinickendorf,"",restaurant,"","","","","",balkan,"","","","","","","","",Pula-Grill,Mo-Su 11:30-23:00,"","","",limited,"52.570185","13.32066"
node/137483925,Alt-Moabit,"141","10557",Moabit,"",restaurant,"","","1",+49 30 3942081,"",german,"","","","",yes,"","","",Paris-Moskau,"Mo-Fr 12:00-15:00,18:00+, Sa 18:00+",yes,"","",yes,"52.52259","13.364478"
node/84644780,Anhalter Straße,"1","10963",Kreuzberg,"",restaurant,"","","","","",mexican,"","","","",yes,"","","",Cancun,"PH,Mo-Su 11:30-02:00",yes,"","",yes,"52.504469","13.382747"
node/171073634,Anklamer Straße,"27","10115",Mitte,"",restaurant,"","","",+49 30 81798172,https://jaspers-berlin.de/,german,"","","","",yes,"",wlan,"",Jasper's,"Tu-Sa 17:00-23:00, Su 12:00-20:00",yes,"","",no,"52.536584","13.40069"
node/203592976,Oberfeldstraße,"24","12683",Biesdorf,"",restaurant,"","","",+49 30 4721620,http://www.zur-kleinen-remise.de,german,"","","","",yes,"","","",Zur kleinen Remise,"We-Su 11:00-24:00;""nach Vereinbarung""",yes,outside,"",yes,"52.518924","13.555397"
node/203596116,Oberfeldstraße,"30","12683","","",restaurant,"","","","","",greek,no,"","","",yes,"120","","",Herkules I,"Mo-Su,PH 12:00-24:00",yes,"",yes,yes,"52.520263","13.555653"
node/205497468,Waidmannsluster Damm,"77","13509",Tegel,"",restaurant,"","","","","",german,"","","","",yes,"","","",Tomasa Landhaus im Schollenkrug,Mo-Su 09:00-00:00,yes,outside,"",no,"52.600668","13.303004"
node/248651464,Schönhauser Allee,"12","10119",Prenzlauer Berg,"",restaurant,"","","",+49 30 44017333,"",italian,"","","",yes,yes,"","","",I Due Forni,Mo-Su 12:00-24:00,yes,outside,yes,yes,"52.530831","13.412464"
node/249094437,Knaackstraße,"99","10435",Prenzlauer Berg,"",restaurant,"","","","","",mexican,"","","","",yes,"","","",Mad Meals,"",yes,outside,"","","52.540618","13.414039"
node/250067344,Rykestraße,"39","10405",Prenzlauer Berg,"",restaurant,"","","","","",german,"","","",yes,"","","","",Ryke,"We-Sa 18:00-23:00, Su 13:00-21:30","","","","","52.537653","13.421214"
node/250588809,"","","","","",restaurant,"","","","","",vietnamese,"","","","",yes,"","","",Anjoy,"Mo-Sa, PH 12:00-23:30; Su 11:00-23:30",yes,isolated,"",limited,"52.536142","13.420534"
node/251335826,Fürstenwalder Allee,"17","12589",Rahnsdorf,"",restaurant,"","","","","",asian,"",Asia Buffet Restaurant,yes,yes,"","","","",Seepalast,"12:00-22:30","","","",yes,"52.441712","13.687254"
node/254003168,Eisenacher Straße,"54","10823",Schöneberg,"",restaurant,"","","","","",indian,"","",yes,yes,yes,"","","",Yogi-Haus,"Mo-Th, Su 11:30-23:00; Fr,Sa 11:30-24:00",yes,"","",yes,"52.486278","13.350668"
node/254307092,Augsburger Straße,"41","10789",Charlottenburg,"",restaurant,"","","","","",french,"","","","","","","","",Le Faubourg,"","",no,"",yes,"52.502693","13.331882"
node/254307115,Los-Angeles-Platz,"1","10789","","",restaurant,"","","","","",german,"","","","","","","","",Berliner Stube,"","","","",yes,"52.502869","13.334607"
node/254992619,Am Bahnhof Grunewald,"4","14193",Grunewald,"",restaurant,"","","",+49 30 8929356,http://www.restaurantfloh.de/,german,"","","","","","","","",Floh,Tu-Su 12:00-18:00,"","","","","52.488003","13.263428"
node/254992627,"","","","","",restaurant,"","","","","",italian,"","","","","","","","",Trattoria Gioachino,"","","","",yes,"52.487884","13.262841"
node/255052976,Nikolskoer Weg,"15","14109",Wannsee,"",restaurant,"","","",+49 30 805 2914,https://www.blockhaus-nikolskoe.de/,german,"",technical_monument,"","","","","","",Blockhaus Nikolskoe,Mo-Su 11:00-19:00,"",no,"",yes,"52.424442","13.116311"
node/257704934,Frieda-Arnheim-Promenade,"7","13585",Hakenfelde,"",restaurant,"","","",+49 030 54842743,https://aguarestaurant.de,mexican,"","","","","","","","",Agua TexMex,Mo-Su 11:00-23:00,yes,"","",yes,"52.546258","13.211915"
node/258497093,Rosenstraße,"19","10178",Mitte,"",restaurant,"","","",+49 30 84711058,"",asian,"","",yes,yes,yes,"","","",Eden,Mo-Fr 12:00-23:00; Sa 13:00-23:00; Su 17:00-23:00,yes,outside,"",yes,"52.521932","13.4048"
node/259607063,"","","","","",restaurant,"","","","","",international,"","","","","","","","",Unvernunft,Mo-Th 12:00-20:00; Fr 12:00-22:00,"","","","","52.535517","13.202053"
node/259608175,Möllentordamm,"1","13597",Spandau,"",restaurant,"","","",+49 30 84526667,https://teloneio.de,greek,yes,"","","",yes,"","","",Taverna Teloneio,Mo-Su 12:00-23:00; Jan 01 14:00-21:00; Dec 31 12:00-18:00,yes,"",yes,limited,"52.539922","13.207419"
node/260565390,Fechnerstraße,"30","10717",Wilmersdorf,"",restaurant,"","","","","",french,"","","",yes,yes,"","","",Garcon,"10:00-01:00",yes,"","",yes,"52.489492","13.319673"
node/260769037,Bellevuestraße,"3-5","10785",Tiergarten,"",restaurant,"","","",+49 30 25751280,https://www.bier-genuss.berlin/de/lindenbraeu-am-potsdamer-platz,german,"","","","",yes,"","","",Lindenbräu,"Su-Th 11:30-01:30, Fr-Sa 11:30-02:30",yes,"","",yes,"52.510292","13.372668"
node/260866916,"","","","","",restaurant,"","","","","",german,"","","","","","","","",Dittmanns Drogerie,"","","","",yes,"52.402964","13.585665"
node/262462062,Strausberger Platz,"2","10243",Friedrichshain,"",restaurant,"","","","","",italian,"","","",no,yes,"","","",Ristorante a Mano,Mo-Su 12:00-23:00,yes,"","",limited,"52.519373","13.427509"
node/262943658,Boxhagener Straße,"108","10245",Friedrichshain,"",restaurant,"","","","","",asian,"","",yes,yes,yes,"","","",Hangmee,"12:00-24:00",yes,"","",yes,"52.512955","13.45764"
node/263701477,Heinrich-Grüber-Straße,"1","12621",Kaulsdorf,no,restaurant,"","","","","",german,"","",no,yes,yes,"","","",Gaststätte zur S-Bahn,"Mo-Su,PH 12:00-22:00; Jan-Mar Mo off",yes,outside,yes,no,"52.51244","13.587869"
node/263703385,Zanderstraße,"27","12621",Kaulsdorf,"",restaurant,"","","",+49 30 5689460,https://www.zum-oberfeld.de,german,"","","","",yes,"",wlan,"",Gasthof zum Oberfeld,"Mo-Su,PH 12:00-22:00",yes,"","",no,"52.515717","13.59359"
node/267245397,"","","","","",restaurant,"","","","","",italian,"","","","","","","","",Pizza Pasta Gatow,"PH,Mo-Su 11:00-23:00","","","",yes,"52.511459","13.181399"
node/267851662,Georgenstraße,"25","","","",restaurant,"","","","","",vietnamese,"","","","","","","","",Hoa Rong,Mo-Fr 11:30-23:00; Sa 13:00-23:00,"","","",yes,"52.519714","13.387751"
node/268179512,Clayallee,"1","14195",Grunewald,"",restaurant,"","","50","",http://www.machiavelli-berlin.de/,international,"","","","","","","","",Machiavelli,"","","","",limited,"52.4748","13.278179"
node/268500238,Ahornstraße,"32","12163",Steglitz,"",restaurant,"","","","","",thai,"","","","","","","","",Sida,Tu-Sa 12:00-21:00; Su 14:00-21:00,"","","",no,"52.460514","13.323131"
node/268977847,Kurfürstendamm,"105","10711",Halensee,"",restaurant,"","","",+49308911305,http://www.eiffel-berlin.de/,french,"","","","","","","","",Eiffel,Mo-Su 09:00-23:00,"","","",yes,"52.497989","13.294472"
node/268998367,Xantener Straße,"1","10707",Wilmersdorf,"",restaurant,"","","",+49308839014,http://www.das-xantener-eck.de/,german,"","","",yes,yes,"","","",Xantener Eck,"",yes,"","",limited,"52.498822","13.307646"
node/268999713,Uhlandstraße,"149","10719",Wilmersdorf,"",restaurant,"","","","",https://casa-di-maria.de/,italian,"","",no,yes,yes,"","","",Casa di Maria,Mo-Sa 12:00-23:00,yes,"","",no,"52.496811","13.324447"
node/269486924,Richardplatz,"20","12055",Neukölln,"",restaurant,"","","","","",indian,"","",yes,yes,yes,"","","",Shaan,Mo-Su 12:00-18:00+,yes,"",yes,no,"52.473955","13.446854"
node/269486925,Richardplatz,"5","12055",Neukölln,"",restaurant,"","","","","",austrian,"","","",no,yes,"","","",Restaurant Louis,"We-Su 11:30-23:00; Mo, Tu 12:15-23:00",sidewalk,"","",limited,"52.474338","13.44528"
node/269675644,Helgoländer Ufer,"7","10557",Moabit,"",restaurant,"","","",+49 30 98331150,"",italian,"","",yes,yes,yes,"","","",Da Ponte,Tu-Su 16:00-23:00,yes,"","",yes,"52.522091","13.348823"
node/269675879,Lüneburger Straße,"390","10557",Moabit,"",restaurant,"","","","","",italian,"","",yes,yes,yes,"","","",Trattoria Fidelia,"Mo-Sa 11:30-23:00, Su 12:00-23:00",yes,"","",no,"52.519476","13.355699"
node/269676264,Elisabeth-Abegg-Straße,"1","10557",Moabit,"",restaurant,"","","",+49 30 33099720,"",german,"","",no,yes,yes,"","","",Zollpackhof,Mo-Su 11:00-00:00,yes,"","",yes,"52.521282","13.36685"
node/269712300,Müller-Breslau-Straße,"1","10623",Tiergarten,"",restaurant,"","","",+49303139909,http://www.schleusenkrug.de,german,"","","","",yes,"",no,"",Schleusenkrug,Mo-Su 10:00-22:00,yes,outside,"",yes,"52.511275","13.335988"
node/270190091,"","","10585",Charlottenburg,"",restaurant,"","","","","",arab,"","","","","","","","",Rüya Gemüse Kebab,Mo-Sa 11:00-21:30,"",outside,yes,limited,"52.513792","13.317031"
node/271668766,Hauptstraße,"11","10827",Schöneberg,"",restaurant,"","","",+49 30 7848570,"",turkish,"","","","",yes,"","","",Aspendos,"",yes,"","",yes,"52.488345","13.35801"
node/272446730,Lindenthaler Allee,"46","14163",Zehlendorf,"",restaurant,"","","","","",italian,"","","","","","","","",Trattoria Piazza Siciliana,"Mo-Sa 17:00-24:00, Su,PH 12:00-24:00","","",yes,yes,"52.430379","13.230602"
node/274239322,Monumentenstraße,"31","10829",Schöneberg,"",restaurant,"","","","","",italian,"","","","",yes,"","","",cielo di berlino,"Tu-Fr 13:00-24:00; Mo,Sa 16:00-24:00; Su 14:00-23:00",yes,no,"",limited,"52.488178","13.370321"
node/276107001,Torfstraße,"9","13353",Wedding,"",restaurant,"","","","","",german,"","",no,yes,yes,"",wlan,no,Fünf & Sechzig,Mo-Su 08:00-00:00,yes,"","",limited,"52.540002","13.352731"
node/276134994,Wedellstraße,"31","12249",Lankwitz,"",restaurant,"","","","","",italian,"","","","","","","","",Bardolino,"Tu-Fr 16:00-22:00+, Sa,Su,PH 12:00-22:00+","","","",limited,"52.43398","13.359207"
node/276344490,Richterstraße,"9","12526",Bohnsdorf,"",restaurant,"","","","","",greek,"","","","","","","","",Restaurant Rhodos,"Su-Th,PH 12:00-23:00, Fr,Sa 12:00-24:00","","","",no,"52.411332","13.573001"
node/277525547,Königin-Luise-Straße,"52","14195",Dahlem,"",restaurant,"","","","","",german,no,"","","","","","","",Alter Krug,Mo-Sa 11:00-23:00; Su 10:00-23:00,"",outside,"",yes,"52.457848","13.288235"
node/277606109,Südwestkorso,"10","12161",Friedenau,"",restaurant,"","","","","",italian,"","","",yes,yes,"","","",Mario,Mo-Su 12:00-24:00,yes,"","",no,"52.475077","13.323407"
node/278125054,Simplonstraße,"16","10245",Friedrichshain,"",restaurant,"","","",+49 30 29049704,"",austrian,"","","",yes,yes,"","","",Schneeweiß,Mo-Sa 17:00-24:00,yes,"","",no,"52.508645","13.458203"
node/278125892,Holteistraße,"6-9","10245",Friedrichshain,"",restaurant,"","","","","",international,"","",yes,yes,yes,"","","",Alte Turnhalle Berlin,"May-Sep: Su-Th 10:00-00:00, Fr-Sa 09:00-01:00; Oct-Apr: Sa-Su 10:00-15:00; PH 10:00-15:00",yes,yes,"",yes,"52.507199","13.465299"
node/278280125,"","","","","",restaurant,"","","","","",italian,"","","",yes,yes,"","","",Vereinszimmer,"Mo-Fr 08:00-20:00; Sa,Su 09:00-20:00",yes,"","",yes,"52.49","13.382507"
node/278280155,Kreuzbergstraße,"71","10965","","",restaurant,"","","","","",italian,"","","","",yes,"","","",Osteria Nº 1,"",yes,"","",limited,"52.489775","13.383218"
node/278295467,"","","",Kreuzberg,"",restaurant,"","","","","",asian,"","","",yes,yes,"","","",Pagode,Mo-Su 12:00-23:00,yes,"","",no,"52.489311","13.393394"
node/278874953,Rigaer Straße,"30","10247",Friedrichshain,no,restaurant,"","","",+49 30 55205071,http://www.chaiji.de/,indian,"","",yes,yes,yes,"",wlan,"",Chai Ji,Su-Th 12:00-23:00; Fr-Sa 12:00-24:00,yes,"","",no,"52.516543","13.463539"
node/278874970,Mainzer Straße,"10","10247",Friedrichshain,"",restaurant,"","","","","",asian,"","","",yes,yes,"","","",Kyoto,Mo-Fr 12:00-22:00; Sa 17:00-22:00; Su 16:00-22:00,yes,"","","","52.513154","13.462049"
node/278874977,Mainzer Straße,"14","10247","",no,restaurant,"","","","","",italian,"","","",yes,yes,"","","",Eatalian,"Su-Th 11:30-24:00, Fr,Sa 11:30-02:00",yes,outside,"",no,"52.512268","13.461449"
node/278887997,Niederbarnimstraße,"27","10247",Friedrichshain,"",restaurant,"","","","","",indian,"","",yes,yes,yes,"","","",Aashish,Mo-Su 12:00-23:00,yes,"","",yes,"52.514942","13.46027"
node/279301578,Linienstraße,"133","10115","","",restaurant,"","","","","",german,"","","","",yes,"","","",Gambrinus,"",yes,"","",no,"52.526445","13.387948"
node/279302123,Oranienburger Straße,"45","10117","","",restaurant,"","","","","",indian,yes,"",yes,yes,yes,"","","",Amrit,"Su-Th 11:30-24:00,Fr-Sa 11:30-01:00; PH off",yes,"","",no,"52.525942","13.389627"
node/279391660,Uferstraße,"13","13357",Gesundbrunnen,"",restaurant,"","","",+49 30 46600510,"",italian,"","","","",yes,"","","",Uferlos,Tu-Sa 18:00-24:00,yes,"","",yes,"52.550608","13.373355"
node/280823781,Müllerstraße,"70","13349",Wedding,"",restaurant,"","","",+49 30 43722727,https://www.homey-restaurant.de/,asian,"","","","",yes,"","","",Homey,"Mo-Fr 11:00-22:00; PH,Sa-Su 12:00-22:00",yes,"","","","52.556958","13.340956"
node/280836222,"","","","","",restaurant,"","","","","",thai,"","","","",yes,"","","",Scorpion,"",yes,"","",yes,"52.528823","13.342903"
node/281827765,Karower Straße,"1","13125",Buch,"",restaurant,"","","","","",italian,"","",yes,yes,"","","","",Il Castello,"Mo-Sa 12:00-24:00, Su 12:00-23:00","","","",no,"52.635039","13.49952"
node/282099921,Frankfurter Allee,"97","10247",Friedrichshain,"",restaurant,"","","","","",vietnamese,"","","","",yes,"","","",Gold 79,"",yes,"","","","52.5141","13.473033"
node/282415700,Gärtnerstraße,"29a","10245",Friedrichshain,no,restaurant,"","","","","",italian,"","",no,yes,yes,"","","",Hannibal,"Su-Th 09:00-02:00, Fr,Sa 09:00-04:00",yes,outside,"",yes,"52.50914","13.459883"
node/282416717,Gabriel-Max-Straße,"2","10245",Friedrichshain,no,restaurant,"","","",+49 30 29364130,https://ritrovo.de,italian,"","",yes,yes,yes,"","","",il Ritrovo,Mo-Su 12:00-21:00,yes,outside,"",no,"52.509567","13.458085"
node/282421969,Simon-Dach-Straße,"2","10245",Friedrichshain,"",restaurant,"","","","","",asian,"","",yes,yes,yes,"","","",Lemongrass,"Mo-Su,PH 12:00-23:00",yes,no,"",yes,"52.512479","13.457168"
node/282430006,Frankfurter Allee,"21","10247",Friedrichshain,"",restaurant,"","","","","",vietnamese,"","","","",yes,"","","",Meet Saigon,"",yes,"","",yes,"52.515878","13.458543"
node/282430458,Frankfurter Allee,"17","10247","","",restaurant,"","","","","",italian,yes,"","",yes,yes,"","","",Allermunde Pizzamanufaktur,Mo-Su 16:00-00:00,yes,"","",no,"52.51593","13.457951"
node/282738640,Proskauer Straße,"29","10247",Friedrichshain,"",restaurant,"","","","",https://sethrestaurant.jimdo.com/,pakistani,"","","",yes,"","","","",Seth,Sa-Th 12:00-23:00+; Fr 15:30-23:00+,"","","",no,"52.517256","13.460888"
node/282739409,Rigaer Straße,"26","10247",Friedrichshain,no,restaurant,"","","","","",thai,"","","","",yes,"","","",Koy,Mo-Su 11:30-23:00,yes,"",yes,yes,"52.516802","13.462138"
node/282741146,Schreinerstraße,"51","10247",Friedrichshain,no,restaurant,"","","","","",russian,"","","",yes,yes,"","","",Anastasia,"Mo-Su,PH 12:00+",yes,outside,"",yes,"52.517408","13.465851"
node/282744469,Bänschstraße,"67","10247",Friedrichshain,"",restaurant,"","","","","",italian,"","",yes,yes,"","","","",Papaleo,Tu-Sa 16:00-23:00; Su 16:00-22:30,no,no,yes,no,"52.517967","13.467624"
node/282749068,"","","10247","","",restaurant,"","","","","",vietnamese,"","",yes,yes,yes,"","","",Asahi Sushi,"Mo-Fr 11:00-23:00, Sa,Su 13:00-23:00",yes,outside,"",limited,"52.515342","13.471852"
node/282749069,Rigaer Straße,"52","10247",Friedrichshain,no,restaurant,"","","","","",indian,"","",yes,yes,yes,"","","",Yogi Haus,"PH,Mo-Su 12:00-24:00",yes,outside,"",limited,"52.51512","13.471608"
node/283569696,Gudrunstraße,"5A","10365",Lichtenberg,"",restaurant,"","","",+49 30 57799288,http://athos-berlin.de/,greek,no,"",no,yes,yes,"","","",Restaurant Athos,"PH,Tu-Su 11:30-23:00",yes,outside,yes,no,"52.512989","13.501274"
node/285068301,"","","","","",restaurant,"","","","","",italian,"","","","",yes,"","","",Trattoria Cinque,Mo-Su 12:00-23:00,yes,"","","","52.511329","13.458563"
node/285075125,Grünberger Straße,"69","10245",Friedrichshain,no,restaurant,"","","","","",thai,"","",only,only,yes,"","","",li.ke,Mo-Su 12:00-22:00,yes,outside,"",yes,"52.511594","13.458689"
node/285085630,Boxhagener Straße,"30","10245","",no,restaurant,"","","","","",turkish,"","",yes,yes,yes,"","","",Zeus Pizza & Pide,Mo-Sa 15:30-23:30; Su 14:00-23:00,yes,outside,"",yes,"52.512407","13.459095"
node/285170131,Pariser Straße,"18a","10707",Wilmersdorf,"",restaurant,"","","","","",italian,"","","","","","","","",Ristorante Da Toni,"","","","",no,"52.498264","13.319002"
node/285431960,"","","","","",restaurant,"","","","","",turkish,"","","","","","","","",Hasir,"PH,Mo-Su 10:00-24:00","","","",limited,"52.538299","13.206756"
node/285898054,Kantstraße,"35","10625",Charlottenburg,"",restaurant,"","","","","",chinese,"","","","","","","","",Aroma,Th-Tu 14:00-02:00,"","","",yes,"52.506344","13.315577"
node/285898060,Grolmanstraße,"52","10623",Charlottenburg,"",restaurant,"","","",+49 30 31809170,http://www.tapas-berlin.de,spanish,"","","","","","","","",Tapas Bar,"Mo-Th 16:00-01:00, Fr-Sa 16:00-02:00, Su 11:00-01:00","","","",no,"52.507193","13.321614"
node/287528885,Paul-Lincke-Ufer,"23","10999","","",restaurant,"","","","","",vietnamese,"","","","",yes,"","","",Cocochu,Mo-Su 11:30-23:30,yes,outside,"",yes,"52.494097","13.428601"
node/288407321,Schönleinstraße,"29","","",no,restaurant,"","","","","",italian,"","","",yes,yes,"","","",Olivio,Mo-Su 12:00-22:00,yes,"",yes,no,"52.491943","13.421185"
node/288731897,Corinthstraße,"58","10245",Friedrichshain,no,restaurant,"","","",+49-30-29006638,"",arab,"","",no,yes,yes,"","","",Melissa,"Mo-Su,PH 08:00-02:00",yes,"","",no,"52.498985","13.464285"
node/289961199,Graefestraße,"20","10967",Kreuzberg,"",restaurant,"","","","","",asian,"","","","",yes,"","","",Chay Long,"",yes,"","","","52.49259","13.417193"
node/291651816,Gatower Straße,"7","13595",Wilhelmstadt,"",restaurant,yes,"","",+49 30 35503107,http://www.gaststaetteg7.de,german,"","","","","","","","",Gaststätte G7,"",yes,"","",no,"52.520312","13.187769"
node/291750981,Naugarder Straße,"45 II","10409",Prenzlauer Berg,"",restaurant,"","","","","",italian,"","",no,yes,"","","","",Trattoria Da Pia,"","","","",yes,"52.542687","13.438272"
node/291797118,Boxhagener Straße,"29","10245",Friedrichshain,no,restaurant,"","","","","",lebanese,"","",yes,yes,yes,"","","",The Hummus Club,"",yes,outside,"",yes,"52.512465","13.458856"
node/283212033,"","","","","",restaurant,"","","","","",german,"","","","","","","","",Lagunen-Eck,"","","","","","52.431887","13.713338"
node/291797192,Boxhagener Straße,"29","10245",Friedrichshain,no,restaurant,"","","",+49 30 48813614,https://burgerjam.business.site,austrian,"","",yes,yes,yes,"","","",Burger Jam,Mo-Su 12:30-18:00+,yes,outside,"",limited,"52.512479","13.458782"
node/292699539,"","","","",no,restaurant,"","","","","",asian,"","",yes,yes,yes,"","","",Asiana Village,Tu-Th 12:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00,no,no,"",yes,"52.595315","13.335306"
node/293111165,Schlüterstraße,"69","10625",Charlottenburg,"",restaurant,"","","","",http://www.pascarella.de/,italian,"","","","","","","","",Pascarella,"12:00-24:00","","","",yes,"52.507699","13.318058"
node/293635560,Kantstraße,"51","10625",Charlottenburg,"",restaurant,"","","","","",mexican,yes,"","","","","","","",Berlin Burrito Company,"Mo-Th,Su 12:00-22:00; Fr-Sa 12:00-23:00",yes,"","",limited,"52.506665","13.309853"
node/294851334,"","","","","",restaurant,"","","","","",italian,"","","","",yes,"","","",Da Mingiu,"PH,Mo-Su 12:00-23:00",yes,"","",yes,"52.592443","13.326394"
